Epoch,Train Loss,Train Acc,Train Prec,Train Recall,Train F1,Valid Loss,Valid Acc,Valid Prec,Valid Recall,Valid F1
1,0.3832408516136415,0.8309049079754601,0.8348758268184974,0.8309049079754601,0.8081454348465922,0.6970441341400146,0.625,0.6666666666666667,0.625,0.6
2,0.17884907067004888,0.9342407975460123,0.9335069692487861,0.9342407975460123,0.9336627159100024,0.4595630168914795,0.8125,0.8174603174603174,0.8125,0.8117647058823529
3,0.13107437085063178,0.9528374233128835,0.9530997303756839,0.9528374233128835,0.9529509578398366,0.7834886908531189,0.25,0.16666666666666666,0.25,0.2
4,0.10811201071629495,0.9610812883435583,0.9609722279968544,0.9610812883435583,0.9610190937559491,0.7088528275489807,0.375,0.3666666666666667,0.375,0.36507936507936506
5,0.09409121719354684,0.9679831288343558,0.9679754086518632,0.9679831288343558,0.9679792231036034,0.7231601476669312,0.4375,0.23333333333333334,0.4375,0.30434782608695654
6,0.09485840080934434,0.9672162576687117,0.9672083502658505,0.9672162576687117,0.967212258387522,0.5364477634429932,0.75,0.8333333333333333,0.75,0.7333333333333334
7,0.09542500316251092,0.9651073619631901,0.9649821169660566,0.9651073619631901,0.9650299080181507,0.24516285955905914,0.8125,0.8174603174603174,0.8125,0.8117647058823529
8,0.08138882907884527,0.9718174846625767,0.9717976580943545,0.9718174846625767,0.9718071575484529,0.26000040769577026,0.875,0.9,0.875,0.873015873015873
9,0.06664102824199145,0.9758435582822086,0.9758685344597633,0.9758435582822086,0.9758553080686707,0.10656986385583878,1.0,1.0,1.0,1.0
10,0.0635233689385232,0.9789110429447853,0.9789713859976884,0.9789110429447853,0.9789365892700093,0.27876895666122437,0.75,0.8333333333333333,0.75,0.7333333333333334
11,0.07248165429872604,0.9718174846625767,0.9718540235262746,0.9718174846625767,0.9718346088312573,0.2006119340658188,1.0,1.0,1.0,1.0
12,0.06836859543916364,0.972967791411043,0.9730182173512989,0.972967791411043,0.9729907573787796,0.20077821612358093,0.9375,0.9444444444444444,0.9375,0.9372549019607843
13,0.06066329402283428,0.9781441717791411,0.97822092258841,0.9781441717791411,0.9781759015751571,0.1599045693874359,0.9375,0.9444444444444444,0.9375,0.9372549019607843
14,0.04938421436539777,0.982170245398773,0.9821659887930951,0.982170245398773,0.9821680703511083,0.2038741260766983,1.0,1.0,1.0,1.0
15,0.056378202605706876,0.9806365030674846,0.9806318720210699,0.9806365030674846,0.9806341409189457,0.1748388260602951,1.0,1.0,1.0,1.0
16,0.05447826505084436,0.9794861963190185,0.979491287864293,0.9794861963190185,0.9794886955998088,0.12075363099575043,1.0,1.0,1.0,1.0
17,0.050213381508079594,0.9819785276073619,0.9820314863007884,0.9819785276073619,0.9820003581034624,0.17664818465709686,0.9375,0.9444444444444444,0.9375,0.9372549019607843
18,0.047311327428031326,0.9833205521472392,0.9833534655771591,0.9833205521472392,0.9833347226379704,0.19666467607021332,0.9375,0.9444444444444444,0.9375,0.9372549019607843
19,0.05121752286709822,0.9817868098159509,0.98176017606365,0.9817868098159509,0.9817711973627407,0.22032390534877777,0.875,0.9,0.875,0.873015873015873
